,YEAR,STATE,AGE,STD,Population,"STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)"
528,2013,Minnesota,0-14,186.0,1429349.0,13.012917069239212,-382.0500585983062
529,2013,Minnesota,15-19,6115.0,1429349.0,427.8171391311709,32.7541634636255
530,2013,Minnesota,under 19,6301.0,1429349.0,440.83005620041007,45.76708053286467
531,2013,Mississippi,0-14,296.0,840066.0,35.23532674813646,-359.82764891940894
532,2013,Mississippi,15-19,6978.0,840066.0,830.6490204341087,435.5860447665633
533,2013,Mississippi,under 19,7274.0,840066.0,865.8843471822452,470.82137151469976
534,2013,Missouri,0-14,389.0,1584269.0,24.553910983551404,-370.509064683994
535,2013,Missouri,15-19,10251.0,1584269.0,647.0492069212993,251.98623125375389
536,2013,Missouri,under 19,10640.0,1584269.0,671.6031179048508,276.5401422373054
537,2013,Montana,0-14,46.0,250988.0,18.32756944555118,-376.7354062219942
538,2013,Montana,15-19,1163.0,250988.0,463.3687666342614,68.30579096671602
539,2013,Montana,under 19,1209.0,250988.0,481.6963360798125,86.63336041226711
540,2013,Nebraska,0-14,71.0,514327.0,13.804447365197626,-381.25852830234777
541,2013,Nebraska,15-19,2184.0,514327.0,424.6325781069242,29.569602439378798
542,2013,Nebraska,under 19,2255.0,514327.0,438.4370254721218,43.37404980457637
543,2013,Nevada,0-14,119.0,729600.0,16.31030701754386,-378.75266865000157
544,2013,Nevada,15-19,3698.0,729600.0,506.8530701754386,111.79009450789317
545,2013,Nevada,under 19,3817.0,729600.0,523.1633771929825,128.10040152543706
546,2013,New Hampshire,0-14,10.0,320854.0,3.1166823539678483,-391.94629331357754
547,2013,New Hampshire,15-19,822.0,320854.0,256.19128949615714,-138.87168617138826
548,2013,New Hampshire,under 19,832.0,320854.0,259.30797185012494,-135.75500381742046
549,2013,New Jersey,0-14,233.0,2275804.0,10.23814001557252,-384.8248356519729
550,2013,New Jersey,15-19,8480.0,2275804.0,372.6155679487337,-22.44740771881169
551,2013,New Jersey,under 19,8713.0,2275804.0,382.85370796430624,-12.209267703239163
552,2013,New Mexico,0-14,117.0,574423.0,20.36826519829464,-374.69471046925077
553,2013,New Mexico,15-19,3467.0,574423.0,603.5621832691239,208.49920760157852
554,2013,New Mexico,under 19,3584.0,574423.0,623.9304484674186,228.8674727998732
555,2013,New York,0-14,1317.0,4855032.0,27.12649473783077,-367.9364809297146
556,2013,New York,15-19,30009.0,4855032.0,618.1009723519845,223.03799668443912
557,2013,New York,under 19,31326.0,4855032.0,645.2274670898153,250.16449142226986
558,2013,North Carolina,0-14,511.0,2559989.0,19.96102327002186,-375.1019523975235
559,2013,North Carolina,15-19,17509.0,2559989.0,683.9482513401425,288.8852756725971
560,2013,North Carolina,under 19,18020.0,2559989.0,703.9092746101643,308.8462989426189
561,2013,North Dakota,0-14,24.0,176366.0,13.60806504655092,-381.4549106209945
562,2013,North Dakota,15-19,853.0,176366.0,483.6533118628307,88.59033619528532
563,2013,North Dakota,under 19,877.0,176366.0,497.2613769093816,102.19840124183622
564,2013,Ohio,0-14,1016.0,3026693.0,33.56798988202636,-361.494985785519
565,2013,Ohio,15-19,21665.0,3026693.0,715.797737002068,320.73476133452255
566,2013,Ohio,under 19,22681.0,3026693.0,749.3657268840942,354.3027512165488
567,2013,Oklahoma,0-14,229.0,1044138.0,21.93196684729413,-373.1310088202513
568,2013,Oklahoma,15-19,6537.0,1044138.0,626.0666693483045,231.00369368075906
569,2013,Oklahoma,under 19,6766.0,1044138.0,647.9986361955987,252.9356605280533
570,2013,Oregon,0-14,117.0,965132.0,12.122694097802167,-382.9402815697432
571,2013,Oregon,15-19,3982.0,965132.0,412.58605040554033,17.523074737994932
572,2013,Oregon,under 19,4099.0,965132.0,424.7087445033425,29.64576883579707
573,2013,Pennsylvania,0-14,839.0,3145037.0,26.67695165430486,-368.38602401324056
574,2013,Pennsylvania,15-19,20688.0,3145037.0,657.7983025318939,262.7353268643485
575,2013,Pennsylvania,under 19,21527.0,3145037.0,684.4752541861988,289.41227851865335
576,2013,Rhode Island,0-14,37.0,257081.0,14.392351048891204,-380.6706246186542
577,2013,Rhode Island,15-19,1269.0,257081.0,493.61874273089023,98.55576706334483
578,2013,Rhode Island,under 19,1306.0,257081.0,508.0110937797815,112.9481181122361
579,2013,South Carolina,0-14,279.0,1219336.0,22.881305891075144,-372.18166977647024
580,2013,South Carolina,15-19,9067.0,1219336.0,743.6014355354062,348.53845986786075
581,2013,South Carolina,under 19,9346.0,1219336.0,766.4827414264813,371.4197657589359
582,2013,South Dakota,0-14,55.0,228521.0,24.067809960572557,-370.99516570697284
