"State, Year",abortion_rate,birth_rate,pregnancy_rate,"HIV Rate per 100,000","STD Rate per 100,000 People"
"District of Columbia, 2010",32.7,45.5,90.6,132.3,1687.266106
"Florida, 2010",20.2,32.3,60.9,31.1,462.7169683
"Georgia, 2010",13.3,41.5,64.4,37.6,534.3296001
"Hawaii, 2010",23.9,32.6,65.5,7,306.6683416
"Idaho, 2010",7,33.1,47.4,2.2,192.2963944
"Illinois, 2010",15.7,33.1,57,18.2,532.963083
"Indiana, 2010",7.4,37.5,53.1,10.8,374.8713079
"Iowa, 2010",8.9,28.6,44.1,4.1,345.6272031
"Kansas, 2010",5.5,39.2,53.1,5.5,311.9710569
"Kentucky, 2010",6.2,46.4,62.4,11.7,425.017147
"Louisiana, 2010",10.6,48.2,69.6,37,757.8157133
"Maine, 2010",10.1,21.5,36.9,2.5,166.8351765
"Maryland, 2010",22.7,27.3,57.7,34,581.728454
"Massachusetts, 2010",14.5,17,36.4,7,267.5170455
"Michigan, 2010",14.4,30.3,52.3,11.5,619.691386
"Minnesota, 2010",7.7,22.5,35.4,9.1,257.1891397
"Mississippi, 2010",9.3,55.4,76.7,24.1,875.8549234
"Missouri, 2010",8.8,37.2,54.4,16.5,512.56721
"Montana, 2010",9.7,35.1,52.9,3.1,296.0640199
"Nebraska, 2010",5.3,31.1,43.2,9.5,257.961773
"Nevada, 2010",20.2,39,68.9,17.8,341.5716438
"New Hampshire, 2010",8.5,15.7,28.1,3.3,157.449321
"New Jersey, 2010",24.6,20,51.1,17.1,319.4552867
"New Mexico, 2010",15,53.2,80.3,8.3,445.8826505
"New York, 2010",32.7,22.8,63.3,23.1,532.6162634
"North Carolina, 2010",12.2,38.3,59.4,21.3,513.4631668
"North Dakota, 2010",6.6,28.9,41.8,4.1,271.0519986
"Ohio, 2010",11.7,34.3,54,14.1,566.6967818
"Oklahoma, 2010",7.7,50.7,69.2,10.6,417.2934534
"Oregon, 2010",12,28.3,47.2,7.9,287.5492221
"Pennsylvania, 2010",14.9,27.1,49,14.8,484.7544688
"Rhode Island, 2010",15.8,22.4,44.3,8.5,308.0862044
"South Carolina, 2010",13.2,42.9,66,29.2,693.2400416
"South Dakota, 2010",4.3,34.8,46.4,2.9,322.7254492
"Tennessee, 2010",9.4,43.5,62.6,19.9,521.5148425
"Texas, 2010",12,52.2,75.9,23.6,463.8046637
"Utah, 2010",4.1,28,38.1,3.2,149.6245852
"Vermont, 2010",9.4,17.9,31.8,4.8,158.8438253
"Virginia, 2010",13.9,27.4,48.2,18.5,393.8439886
"Washington, 2010",15.9,26.9,49.8,6.6,263.3534926
"West Virginia, 2010",9.3,45.2,64.5,4.3,237.5808466
"Wisconsin, 2010",6.9,26.2,39.1,7.1,428.6538438
"Wyoming, 2010",8,39.4,56.2,1.1,302.4068051
"Alabama, 2011",8.8,41,58.9,24.1,738.6165054
"Alaska, 2011",14.1,36.4,59.2,6.3,592.2329471
"Arizona, 2011",9.3,38.2,56.1,8.5,375.3431167
"Arkansas, 2011",7.7,49.7,68.1,13.9,650.6604367
"California, 2011",17.9,28.7,54.2,13.3,315.7307874
"Colorado, 2011",11,28.9,46.8,7.2,355.8467836
"Connecticut, 2011",16.8,16.1,37.8,11.7,357.3834206
"Delaware, 2011",22.7,29.1,59.9,15.3,528.1253983
"District of Columbia, 2011",25.6,42.8,79.5,112.8,1884.011468
"Florida, 2011",18.6,29.6,56.1,28.7,443.0911214
"Georgia, 2011",12.6,38,59.5,41.5,588.1623874
"Hawaii, 2011",23,29.8,61.1,2.3,308.8450564
"Idaho, 2011",6,28.4,40.7,2.2,208.0403998
"Illinois, 2011",14.5,29.5,51.3,18.5,566.7796651
"Indiana, 2011",6.2,34.8,48.6,11.2,430.6409125
"Iowa, 2011",7.7,25.3,38.8,5.2,334.2615664
"Kansas, 2011",5,35.6,48.2,6.8,334.86245
"Kentucky, 2011",5.9,43.3,58.5,10.3,418.7497778
"Louisiana, 2011",10.3,45.5,65.9,40,817.1718872
"Maine, 2011",8.3,20.7,34,2,209.2782128
"Maryland, 2011",23.5,24.4,55.2,31.5,531.1266963
"Massachusetts, 2011",13.2,15.1,32.6,8.4,264.9345283
"Michigan, 2011",12.8,27.7,47.4,14.5,603.7579201
"Minnesota, 2011",7.4,19.3,31.3,6.4,273.8639646
"Mississippi, 2011",8.2,50.5,69.6,29.9,814.8949344
"Missouri, 2011",8.2,34.6,50.5,14.9,520.6396585
"Montana, 2011",10.4,29.3,46.7,1.3,310.5027899
"Nebraska, 2011",6.1,27.4,39.6,4.2,321.4616172
